name,21Feb68_A01-L1_S1_Pooled_R1_001.fastq.gz,21Feb68_A02-L1_S2_Pooled_R1_001.fastq.gz,21Feb68_B01-L1_S3_Pooled_R1_001.fastq.gz,21Feb68_B02-L1_S4_Pooled_R1_001.fastq.gz,21Feb68_C01-L1_S5_Pooled_R1_001.fastq.gz,21Feb68_C02-L1_S6_Pooled_R1_001.fastq.gz,21Feb68_D01-L1_S7_Pooled_R1_001.fastq.gz,21Feb68_D02-L1_S8_Pooled_R1_001.fastq.gz,21Feb68_E01-L1_S9_Pooled_R1_001.fastq.gz,21Feb68_E02-L1_S10_Pooled_R1_001.fastq.gz,21Feb68_F01-L1_S11_Pooled_R1_001.fastq.gz,21Feb68_F02-L1_S12_Pooled_R1_001.fastq.gz,21Feb68_G01-L1_S13_Pooled_R1_001.fastq.gz,21Feb68_G02-L1_S14_Pooled_R1_001.fastq.gz,21Feb68_H01-L1_S15_Pooled_R1_001.fastq.gz
EXO5-DT,29,33,16,6,9,11,23,12,27,11,13,15,34,7,7
EXO5,351,338,122,184,68,186,222,186,282,149,83,105,270,151,235
None,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0
None,17,17,7,6,3,3,6,4,8,1,4,8,18,4,6
ZNF684,147,135,89,166,42,134,128,150,116,120,60,151,181,83,70
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2F2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RIMS3,1165,559,1147,405,713,511,325,565,1151,453,837,703,524,1975,381
None,11,5,6,4,2,3,6,3,8,2,0,0,5,1,12
NFYC-AS1,110,96,58,57,39,49,123,52,118,57,56,45,87,14,73
NFYC,2821,9661,3152,5736,2180,5920,10806,6159,2190,1172,2359,1402,7937,1217,5971
MIR30E,0,1,0,0,0,0,2,0,0,0,1,0,0,0,4
MIR30C1,1,2,1,2,1,2,2,1,2,0,3,0,3,0,5
KCNQ4,150,478,166,262,77,303,369,280,161,43,102,51,351,275,296
RN7SL326P,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
CITED4,1083,3315,413,1354,375,1224,1582,1043,898,45,394,75,1985,140,3164
None,1,1,0,0,0,0,3,0,1,0,3,0,8,0,2
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2V1P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTPS1,7975,11324,4347,5236,2001,5428,5314,5656,5002,417,2350,422,9887,524,6700
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLFNL1-AS1,177,213,120,100,81,94,86,93,209,13,123,21,199,26,180
SLFNL1,134,146,48,65,40,24,40,23,105,3,33,3,95,5,100
SCMH1,2577,7498,2906,4140,1662,4757,5257,4523,2717,541,1788,900,5793,874,4221
RPL23AP17,0,1,2,1,1,2,0,1,2,0,5,0,1,0,11
SCMH1-DT,3,0,1,0,1,0,1,1,2,2,0,5,1,13,3
RPL36AP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXO6,312,314,275,298,217,326,230,263,175,20,192,24,165,74,177
FOXO6-AS1,8,2,6,2,4,1,5,10,7,11,5,10,7,46,0
RNA5SP45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDN2,11,143,59,11,15,30,527,32,21,0,24,0,56,0,30
HIVEP3,756,7668,1303,1812,828,2137,3367,1982,1585,240,921,172,3422,284,2693
None,4,38,2,1,0,0,7,0,7,0,3,0,8,1,8
None,78,455,109,56,25,88,306,62,150,1,44,0,243,6,134
None,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPFP1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GUCA2B,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0
GUCA2A,22,10,6,8,23,7,33,9,25,0,39,0,8,0,10
FOXJ3,5607,7538,7717,7061,8764,7906,5220,7638,5967,1302,8982,2043,6121,1017,4778
None,14,12,6,15,5,2,23,6,8,11,3,15,13,18,4
RIMKLA,115,32,772,2202,671,2379,132,2309,806,31,720,47,26,221,25
None,1,0,3,5,1,0,0,5,5,0,0,0,0,0,0
ZMYND12,29,45,57,118,40,135,163,115,43,49,37,49,50,41,40
PPCS,2721,2261,2140,2919,1051,3558,2228,3320,2483,949,1578,1452,2318,990,1320
CCDC30,284,289,233,247,64,243,215,252,254,75,74,128,309,264,139
RPS3AP11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
TMSB4XP1,16,14,5,5,6,10,10,5,18,6,10,5,12,2,7
RNU6-536P,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
None,0,3,1,2,1,3,1,2,0,0,0,0,0,2,1
PPIH,2391,1775,1776,2011,1717,2123,1837,1948,1406,411,1723,536,1741,555,1102
None,17,28,5,11,9,18,35,12,16,14,4,11,17,22,13
YBX1,28648,20401,22586,17694,27088,19121,15947,17448,18357,5059,26359,6615,15875,4534,10598
CLDN19,236,216,211,99,126,87,147,86,135,0,123,0,216,0,130
P3H1,2750,1285,2830,2412,4014,2315,1511,2024,2521,915,4524,1054,1090,1736,903
C1orf50,629,1331,577,1400,618,1326,1540,1185,581,276,703,323,1165,398,812
C1orf50-AS1,111,139,73,141,40,131,117,139,88,38,69,45,136,42,86
TMEM269,13,41,29,36,22,17,18,14,25,0,25,1,32,4,21
SVBP,1233,582,927,899,1073,994,595,928,1130,483,1095,713,551,638,364
ERMAP,612,220,441,208,296,248,99,204,391,507,266,410,180,454,201
ZNF691-DT,47,47,8,19,12,7,56,10,22,35,6,33,41,10,30
ZNF691,1000,2188,713,1914,289,1773,1585,1808,961,405,389,417,1781,505,1440
None,5,5,13,9,3,2,2,4,8,2,7,0,4,1,1
MKRN8P,4,1,2,1,2,2,1,0,2,1,0,0,1,0,2
ATP6V1E1P1,1,2,1,0,3,2,1,0,4,0,1,2,0,1,2
SLC2A1,15446,5322,174119,117280,215464,156111,5695,124803,114673,54346,200738,103374,3593,42271,3773
SLC2A1-DT,102,116,423,521,260,909,307,904,760,294,407,288,102,418,67
RNU6-880P,1,2,9,1,2,0,0,1,19,0,2,0,4,3,1
None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FAM183A,103,78,98,46,44,54,58,37,73,7,61,27,80,24,48
EBNA1BP2,4119,4922,2739,3193,2073,3182,4106,3011,2756,797,2255,997,3809,1070,2291
CFAP57,113,169,81,59,58,97,104,86,128,10,66,19,171,51,84
RNA5SP46,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
TMEM125,1731,1964,1607,2112,1212,1990,2250,1949,1441,43,1333,55,1400,99,1306
C1orf210,771,2871,815,1883,1005,2467,3671,2657,804,1,1338,0,2116,5,1306
TIE1,818,461,1290,459,1919,663,2031,448,1619,14741,2485,22246,337,15800,271
MPL,6,8,5,2,3,7,13,6,9,15,7,30,2,4,6
CDC20-DT,17,28,10,15,17,17,60,14,31,7,21,8,18,19,18
CDC20,7379,14575,4722,8306,4533,9165,15928,8320,4815,8,5296,10,10097,41,9217
ELOVL1,5342,6741,4367,4153,4525,4806,4956,4596,4741,1718,4677,2987,5083,1708,4256
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED8,1707,2662,1676,2600,1800,2756,2509,2736,1412,801,2076,915,2067,932,1506
MED8-AS1,59,41,51,41,47,35,77,34,37,11,78,19,30,31,11
SZT2,3416,3470,2541,3411,1613,2856,2839,2907,2727,1553,1961,1906,2575,1443,2287
SZT2-AS1,3,8,2,1,3,2,12,2,5,2,4,0,3,0,4
MIR6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYI,998,1304,1053,754,986,879,1353,828,1257,404,1383,529,782,1045,508
HYI-AS1,7,5,2,1,5,1,5,2,0,1,1,9,3,39,3
PTPRF,77405,54884,78164,65598,73706,70963,48798,65206,73822,190,77014,437,38273,1532,29292
KDM4A,5342,4384,5192,3544,2444,3721,2695,3280,4926,1156,2735,1395,3127,759,2957
KDM4A-AS1,74,26,47,25,28,18,61,15,64,12,36,14,20,13,31
ST3GAL3,336,183,361,159,199,225,129,177,235,388,210,633,141,848,141
ST3GAL3-AS1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1
None,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
SHMT1P1,0,0,0,1,1,1,1,0,3,0,1,0,1,0,4
ARTN,72,65,104,80,138,96,137,89,81,5,148,2,60,21,27
LINC02918,7,4,10,48,9,54,16,52,22,22,17,20,14,13,3
IPO13,2502,3577,1890,4307,1241,3482,3695,3459,1518,1190,1463,1268,2559,2578,2328
DPH2,2324,2649,1219,1876,929,1515,2755,1476,1396,424,1149,550,1912,696,1749
ATP6V0B,4697,6388,3691,5782,5213,5362,8728,4977,3005,2118,5266,2258,4084,3226,3857
B4GALT2,3490,1996,2542,2149,2101,2101,1466,1986,2378,841,2000,1211,1450,1640,1574
CCDC24,891,1206,1030,1980,796,2172,1628,2262,1175,233,940,329,1093,1250,845
SLC6A9,922,148,774,540,653,585,122,577,449,111,537,112,128,200,189
None,21,16,33,17,51,23,13,21,34,14,50,19,12,30,5
None,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
KRT8P47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL479P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLF17,1,0,1,0,4,1,0,0,0,0,0,2,0,4,0
None,3,8,1,4,1,4,3,1,0,0,0,1,2,0,3
None,2,1,0,0,4,1,3,0,0,0,2,0,1,0,2
None,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OOSP1P1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,2,3,0,2,3,0,0,0,1,0,1,0,4,3,1
DMAP1,2920,2160,2117,2399,2130,2284,2134,2258,2025,2525,2480,2133,1643,4964,1488
ERI3,3315,2810,2405,2786,1866,2854,2770,2848,2291,798,1859,1302,2407,1855,2268
ERI3-IT1,13,33,21,29,23,37,42,26,20,3,33,9,26,1,28
None,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
RNU6-369P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF220,3717,3054,3082,2838,2271,2961,3216,2661,3014,1533,2529,2259,2348,2130,2173
MIR5584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TMEM53,610,373,510,320,372,416,336,413,445,145,412,185,300,223,311
ARMH1,118,116,142,99,99,84,144,122,168,167,100,90,76,1006,72
RNU5F-1,0,2,3,2,3,3,1,2,7,0,4,0,5,0,3
RNU5D-1,1,0,0,0,1,0,1,0,0,11,0,1,2,0,15
KIF2C,4554,7703,3590,5588,2088,6777,8986,5840,3722,39,2732,49,6843,33,4367
None,14,6,11,4,9,5,14,2,10,0,5,4,6,2,5
RPS8,62306,35401,51480,43061,66622,50092,25647,45300,53421,17544,69999,21934,31108,18765,22763
SNORD55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD46,23,9,16,12,47,19,23,16,17,11,49,5,14,6,9
SNORD38A,6,0,7,5,15,5,0,0,8,7,14,3,1,3,1
SNORD38B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD38B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS15AP11,12,3,10,0,5,2,3,7,4,2,10,4,2,2,1
BEST4,73,79,78,113,60,121,85,125,66,9,67,16,85,112,52
PLK3,1724,7074,3932,1951,5217,2503,5036,2022,2512,824,5258,738,3089,758,1639
DYNLT4,41,90,57,7,85,15,30,6,34,5,99,9,29,7,26
BTBD19,748,2083,932,184,1201,275,995,263,1006,508,1201,667,1006,436,618
PTCH2,29,93,26,28,43,21,162,16,32,59,45,59,42,825,32
RNU5E-6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,8,4,6,4,9,2,0,4,6,39,6,12,3,42,2
EIF2B3,1255,2455,1139,2384,673,2145,2579,2123,891,396,845,474,2514,472,1230
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCNB1IP1P1,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0
PPIAP35,2,0,0,2,0,1,2,0,2,1,0,2,0,4,0
MRPS17P1,0,0,1,0,1,1,0,3,0,0,1,0,0,2,0
HECTD3,3361,4127,2984,3271,3687,3041,4391,2758,3669,1372,4254,1660,2817,1899,2167
UROD,3293,4000,2078,2334,1797,2344,4424,2215,2070,1727,2014,2075,2999,2830,2289
ZSWIM5,382,879,490,1488,133,1090,439,1063,674,716,142,1138,658,399,618
OSTCP5,0,0,3,4,0,2,0,3,1,0,2,0,0,0,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01144,42,38,24,20,25,21,74,30,38,20,16,38,30,44,28
HPDL,580,374,158,119,176,224,274,212,242,2,189,8,340,17,313
MUTYH,1654,2713,1391,1897,1012,1896,2032,1955,1220,663,1209,827,2131,1113,1815
TOE1,1400,3317,902,1768,396,1668,2221,1596,805,320,515,372,2191,442,1978
TESK2,1065,1229,1269,1142,1787,1359,2228,1254,1034,214,1871,232,1103,305,594
PPIAP36,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2
CCDC163,96,142,197,487,213,490,185,499,73,99,284,121,128,166,91
MMACHC,647,538,370,559,130,469,444,507,549,117,201,123,553,118,477
PRDX1,23106,12043,12527,6435,9012,7448,11214,6125,14080,3747,9825,6387,12196,4254,7459
HMGB1P48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1A1,5201,4132,4243,3876,4536,3900,3712,3561,3706,1287,4712,1396,3389,1405,2600
None,1,1,0,1,1,1,0,1,2,0,1,0,1,0,2
None,5,1,0,0,2,1,0,0,8,2,1,2,0,0,2
NASP,28877,11209,11765,8709,5063,9454,8099,9404,15071,3196,5731,4212,10782,6108,5626
None,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
None,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
CCDC17,117,233,111,145,208,78,270,69,144,58,191,61,167,107,148
GPBP1L1,6080,7726,6507,7193,6181,8589,8361,8402,6983,2861,7063,4199,6915,2148,3700
RPS15AP10,30,20,63,41,99,49,38,37,36,10,101,9,22,3,13
RPL7AP16,56,79,77,73,114,101,64,67,45,10,133,17,63,4,35
TMEM69,2131,4223,2004,2107,1396,2393,3432,2497,2314,336,1688,487,3504,301,2194
IPP,844,602,731,565,344,988,312,893,893,297,371,564,677,210,471
None,80,35,47,24,19,59,11,54,53,33,20,67,43,64,42
RPL6P1,1,0,2,2,2,3,0,0,1,0,2,0,1,0,0
MAST2,6412,8891,5871,6687,3681,6749,6738,6590,4438,999,4223,1259,6759,2128,5913
TMA16P2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
PIK3R3,2728,743,876,577,290,944,739,1021,633,2764,226,5022,836,1796,947
P3R3URF-PIK3R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,1,0,0,0,0,1,0,1,0,5,0,3,2
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,3,6,2,0,0,2,2,2,6,2,2,1,2,3,1
TSPAN1,424,209,444,168,345,266,233,223,346,59,452,32,189,64,178
P3R3URF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POMGNT1,5223,3281,3825,2706,2704,3275,2519,3141,3368,1887,2949,2230,3165,3448,2541
LURAP1,166,231,176,173,127,232,258,292,105,157,189,132,232,86,102
RAD54L,2275,783,1606,567,631,741,628,629,1346,4,635,11,709,87,677
LRRC41,7701,13559,6605,10125,5032,9398,9050,9309,6311,1450,5649,2081,9370,1657,9428
UQCRH,6582,4539,4886,4169,5574,4699,4105,4234,5507,1439,5949,1775,4243,1933,2312
NSUN4,1200,3650,1490,2546,976,2371,2761,2233,1271,500,1138,689,2664,519,2012
None,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
FAAH,686,360,326,342,255,362,469,403,308,634,295,572,333,2432,246
FAAHP1,9,38,8,27,14,29,98,39,13,18,7,16,43,81,31
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01398,0,2,2,0,2,2,2,1,2,0,0,0,0,2,10
None,2,5,0,3,2,9,3,3,5,3,4,3,4,15,0
DMBX1,0,1,2,0,0,2,21,3,3,0,4,0,0,0,0
MKNK1-AS1,30,14,26,19,40,19,11,25,16,46,38,18,26,19,17
KNCN,0,0,0,0,0,0,0,0,0,1,0,3,0,29,0
MKNK1,1743,2514,1861,1869,1146,1972,1268,1900,1797,2601,1416,1185,2092,1928,1423
MOB3C,330,882,267,211,129,246,496,236,270,1333,127,1517,596,1201,332
ATPAF1,3562,2517,2191,2063,1424,2242,1667,2252,2102,1026,1684,1552,2100,1405,1593
NENFP1,0,0,0,1,1,1,4,0,2,1,0,0,0,0,0
TEX38,2,5,1,1,4,3,13,4,2,8,7,7,1,9,4
EFCAB14-AS1,21,6,15,6,21,15,19,19,15,7,34,4,9,0,5
EFCAB14,5986,4658,3568,3150,3770,3023,2592,2908,4570,6515,4049,9869,3612,3438,2745
None,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1
CYP4B1,31,49,21,6,4,6,96,10,10,51,5,372,34,280,9
CYP4Z2P,1,0,0,0,0,0,1,0,0,2,0,3,1,2,0
TUBAP8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CYP4A11,0,1,0,0,0,0,0,0,0,6,0,7,0,17,0
CYP4A26P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A43P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A27P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A44P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4X1,8,7,7,5,2,1,10,6,26,419,5,477,13,617,2
CYP4Z1,3,2,3,0,2,0,0,1,6,6,4,10,3,79,0
TUBAP9,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
CYP4A22-AS1,30,20,14,6,7,6,15,13,36,2,5,0,19,6,13
CYP4A22,0,0,3,1,0,2,0,1,3,2,0,1,2,13,0
MTND1P34,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0
LINC00853,9,4,3,3,1,4,5,3,9,11,1,8,5,23,0
PDZK1IP1,3,13,2,4,3,5,226,3,4,3,8,4,11,5,5
TAL1,5,11,17,5,8,11,172,16,15,2234,13,2154,8,1329,4
None,0,0,0,0,0,0,6,0,0,400,0,213,0,241,0
STIL,2631,6554,2157,3030,880,3702,5723,3297,1740,87,1091,123,5883,35,3957
CMPK1,5501,3469,4632,3000,3206,4014,1882,3847,5040,2461,4028,5436,4136,1861,2371
LINC01389,22,191,16,2,6,14,33,14,5,9,6,8,136,9,103
FOXE3,266,3845,289,56,49,58,224,76,40,0,28,0,2450,7,3835
FOXD2-AS1,28,45,14,5,11,5,41,15,17,45,19,43,38,106,30
FOXD2,9,17,5,3,9,6,16,5,10,46,4,40,10,80,17
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V0E1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01738,1,2,3,4,3,7,1,1,2,0,2,0,3,1,0
TRABD2B,72,126,81,231,118,132,77,122,145,197,135,276,85,179,63
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,3,0,0,2,2,15,1,2,2,1,8,2,5,1
LINC02794,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CYP46A4P,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SKINT1L,17,3,9,2,9,9,1,9,12,6,7,5,3,51,0
None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SLC5A9,17,7,9,6,15,8,0,12,28,34,11,37,11,6,10
None,6,2,4,3,3,4,0,2,3,15,2,9,1,24,4
None,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
SPATA6,759,816,949,913,542,1118,397,1106,975,313,650,440,980,277,545
PPP1R8P1,3,3,4,2,2,1,1,2,6,1,0,0,2,11,5
RNU6-723P,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
None,47,28,38,35,24,40,20,37,31,2,22,6,28,2,13
RNU4-61P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AGBL4,7,2,8,10,5,7,3,11,6,9,7,13,3,49,2
BEND5,278,252,741,1711,681,2335,416,2095,550,170,641,271,252,432,132
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL4-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZNF859P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MTND2P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELAVL4,4,0,1,0,0,0,1,0,1,70,0,48,2,227,2
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELAVL4-AS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,2,1,3,1,0,2,0,0,0,0,0,0,2,1
HMGB1P45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FCF1P6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DMRTA2,2,11,1,6,7,3,23,3,2,1,3,4,9,14,10
FAF1,3363,7861,3967,6212,3232,6083,7052,5886,2528,939,3316,1179,6585,1112,3710
FAF1-AS1,9,5,12,5,5,7,4,11,3,2,12,6,3,1,11
None,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
RNU6-1026P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB1P12,8,33,5,7,8,12,38,11,3,0,9,0,21,0,20
MRPS6P2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6
CDKN2C,26,68,32,64,14,104,158,87,21,87,16,142,57,132,27
MIR4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf185,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFL1P2,4,2,0,2,2,2,3,2,2,2,1,2,1,5,1
None,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
LINC01562,3,0,0,1,0,2,1,0,0,10,3,25,1,25,0
RNF11,2875,5011,3212,3288,3108,3966,3058,4139,4146,1946,3621,4479,4164,1477,2761
None,10,4,6,8,19,10,13,4,4,1,9,2,6,5,8
None,5,3,4,2,6,2,2,3,3,2,4,2,3,1,1
TTC39A,127,130,250,237,273,250,132,269,145,7,252,8,115,93,87
TTC39A-AS1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
EPS15,4088,6052,4907,4408,3374,4959,4099,5102,5015,2000,3758,3151,5247,1579,3659
None,4,14,6,6,16,10,26,14,5,0,14,2,8,0,16
RNU6-877P,0,0,0,1,1,0,0,0,0,4,1,0,0,1,0
None,4,3,1,2,5,4,2,6,1,6,4,2,6,3,3
EPS15-AS1,11,71,14,37,10,28,115,28,9,2,17,2,45,3,27
RNU6-1281P,0,2,0,0,1,1,2,0,1,0,0,0,0,0,2
CALR4P,6,9,7,7,1,4,22,9,10,0,1,0,19,6,5
OSBPL9,13516,22985,14461,18685,9814,19143,20775,19804,13872,2799,12028,3946,19823,1972,9761
GAPDHP51,1,0,1,0,1,2,2,0,1,2,0,0,0,0,2
SLC25A6P3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
None,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6
NRDC,12376,16549,12219,14546,10861,14240,15042,13745,9316,3130,11668,4160,14111,4241,7706
None,27,29,36,17,25,26,38,21,34,8,50,19,31,12,33
None,1,0,9,0,13,5,2,7,2,3,13,0,1,4,3
None,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TSEN15P2,0,0,1,0,2,1,0,0,1,1,0,0,1,0,6
None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB3B,5006,3577,4756,3148,4451,4116,1679,3854,5678,13,5636,32,3035,118,2543
RNA5SP48,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
None,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0
RN7SL290P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXNDC12,4687,2212,3715,2969,3778,3465,1982,3162,3686,1596,3926,2099,2164,994,1393
KTI12,363,642,247,640,236,586,533,506,305,157,276,195,494,152,398
None,3,1,4,0,6,2,2,3,0,0,9,2,5,0,1
TXNDC12-AS1,1,0,4,1,4,4,1,5,2,0,6,0,1,0,0
BTF3L4,3440,2851,2776,2064,1774,2619,1927,2588,3796,599,2218,1027,2640,366,1601
ZFYVE9,2273,1467,2398,2547,1110,3286,1319,2922,1692,950,1400,1295,1499,613,1107
RN7SL788P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,7,26,13,23,24,16,27,12,9,1,7,6,15,5,17
None,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1
PDCL3P6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC19P7,0,0,0,3,3,0,1,2,0,0,4,0,0,0,1
ANAPC10P1,0,0,1,2,10,3,0,1,0,0,11,0,0,0,2
CC2D1B,3392,4630,2695,3972,2220,3477,5162,3644,2677,1332,2622,1678,3115,1472,2566
None,27,12,29,10,24,18,40,20,21,1,51,6,16,13,4
PLA2G12AP1,25,30,20,10,10,13,20,19,12,1,21,6,12,2,6
ORC1,2308,2556,1806,2375,1348,2648,2410,2466,1634,14,1483,26,2427,17,1668
PRPF38A,3874,6517,2789,4999,2535,5421,4705,5280,3407,2951,3080,3686,5372,1665,3415
TUT4,6325,8136,6200,7284,4714,7520,7604,7477,6745,1550,5671,2046,6680,940,4323
None,7,0,1,0,0,0,0,0,3,0,0,0,0,0,1
EEF1GP7,2,0,1,0,1,1,1,2,2,0,0,2,0,0,2
GPX7,303,190,309,225,266,290,84,305,323,219,219,354,202,252,179
SHISAL2A,10,8,11,7,3,5,6,10,15,12,8,13,4,22,9
COA7,1794,2775,1061,1671,501,1626,1881,1611,1125,249,674,412,2339,251,1565
NDUFS5P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL62P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZYG11B,2778,3851,2834,3966,2120,5073,2237,4893,3009,993,2835,1718,4160,700,2886
RNU2-30P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS13P2,200,100,143,141,168,147,94,132,135,35,186,86,118,66,96
RNU6-969P,2,1,1,0,2,1,2,0,2,2,2,3,2,0,0
